Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  32 bit (fpc 3.3.1 i386-Darwin),10001182
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AlH_Plus,Ground,18.5,e,2,Ground,17.5,e,2,210.03876089408,4.15094521115335E-6,3673.40352181632,3463.36476092224,0.504392753513514,0.115719627524499,0,rR1(17.5),Ground v=1_X 18.5 18 F1e - Ground v=1_X 17.5 17 F1e
AlH_Plus,Ground,16.5,f,1,Ground,15.5,f,1,213.975519159556,7.84256693443869E-6,1964.62047835536,1750.6449591958,0.831501252525252,0.225423765252663,0,rR2(15.5),Ground v=0_X 16.5 17 F2f - Ground v=0_X 15.5 16 F2f
AlH_Plus,Ground,17.5,e,1,Ground,16.5,e,1,214.032169159556,7.83145897897391E-6,1965.61185335536,1751.5796841958,0.881985257142857,0.22600571766669,0,rR1(16.5),Ground v=0_X 17.5 17 F1e - Ground v=0_X 16.5 16 F1e
AlH_Plus,Ground,18.5,f,2,Ground,17.5,f,2,220.03179806368,4.34843518684858E-6,3892.50384488,3672.47204681632,0.504392753513514,0.133034728530321,0,rR2(17.5),Ground v=1_X 18.5 19 F2f - Ground v=1_X 17.5 18 F2f
AlH_Plus,Ground,19.5,e,2,Ground,18.5,e,2,220.08214806368,4.34356056527647E-6,3893.48566988,3673.40352181632,0.531696064957265,0.133315714951295,0,rR1(18.5),Ground v=1_X 19.5 19 F1e - Ground v=1_X 18.5 18 F1e
AlH_Plus,Ground,17.5,f,1,Ground,16.5,f,1,225.330204193223,8.24485523738035E-6,2189.95068254858,1964.62047835536,0.881985257142857,0.263718440128069,0,rR2(16.5),Ground v=0_X 17.5 18 F2f - Ground v=0_X 16.5 17 F2f
AlH_Plus,Ground,18.5,e,1,Ground,17.5,e,1,225.386854193224,8.23454529180445E-6,2190.99870754858,1965.61185335536,0.932464540540541,0.264336976062935,0,rR1(17.5),Ground v=0_X 18.5 18 F1e - Ground v=0_X 17.5 17 F1e
AlH_Plus,Ground,19.5,f,2,Ground,18.5,f,2,229.788403240001,4.53512406822892E-6,4122.29224812,3892.50384488,0.531696064957265,0.151743892148747,0,rR2(18.5),Ground v=1_X 19.5 20 F2f - Ground v=1_X 18.5 19 F2f
AlH_Plus,Ground,20.5,e,2,Ground,19.5,e,2,229.83875324,4.53058592929076E-6,4123.32442312,3893.48566988,0.558997531707317,0.152038583185522,0,rR1(19.5),Ground v=1_X 20.5 20 F1e - Ground v=1_X 19.5 19 F1e
AlH_Plus,Ground,38.5,f,1,Ground,37.5,f,1,235.559897358403,8.48856741264793E-6,8361.24399950848,8125.68410215008,1.9416252987013,0.306124670830612,0,rR2(37.5),Ground v=0_X 38.5 39 F2f - Ground v=0_X 37.5 38 F2f
AlH_Plus,Ground,39.5,e,1,Ground,38.5,e,1,235.616547358401,8.48785303900107E-6,8363.48167450848,8127.86512715008,1.99207392405063,0.306447631660301,0,rR1(38.5),Ground v=0_X 39.5 39 F1e - Ground v=0_X 38.5 38 F1e
AlH_Plus,Ground,18.5,f,1,Ground,17.5,f,1,236.443154170459,8.63848900559474E-6,2426.39383671904,2189.95068254858,0.932464540540541,0.305177424980714,0,rR2(17.5),Ground v=0_X 18.5 19 F2f - Ground v=0_X 17.5 18 F2f
AlH_Plus,Ground,19.5,e,1,Ground,18.5,e,1,236.499804170458,8.62889804949754E-6,2427.49851171904,2190.99870754858,0.982939829059829,0.305831870404855,0,rR1(18.5),Ground v=0_X 19.5 19 F1e - Ground v=0_X 18.5 18 F1e
AlH_Plus,Ground,20.5,f,2,Ground,19.5,f,2,239.23696813792,4.71584372231623E-6,4361.52921625792,4122.29224812,0.558997531707317,0.17146240546175,0,rR2(19.5),Ground v=1_X 20.5 21 F2f - Ground v=1_X 19.5 20 F2f
AlH_Plus,Ground,21.5,e,2,Ground,20.5,e,2,239.287318137921,4.71161270507432E-6,4362.61174125792,4123.32442312,0.586297411162791,0.171770187382946,0,rR1(20.5),Ground v=1_X 21.5 21 F1e - Ground v=1_X 20.5 20 F1e
AlH_Plus,Ground,49.5,f,2,Ground,48.5,f,2,240.038860000001,4.66564876949987E-6,12982.832385,12742.793525,1.35044016498317,0.1757290072065,0,rR2(48.5),Ground v=1_X 49.5 50 F2f - Ground v=1_X 48.5 49 F2f
AlH_Plus,Ground,19.5,f,1,Ground,18.5,f,1,247.28523947552,9.02241390035951E-6,2673.67907619456,2426.39383671904,0.982939829059829,0.349610901553086,0,rR2(18.5),Ground v=0_X 19.5 20 F2f - Ground v=0_X 18.5 19 F2f
AlH_Plus,Ground,20.5,e,1,Ground,19.5,e,1,247.34188947552,9.0134753597422E-6,2674.84040119456,2427.49851171904,1.03341170731707,0.350300334237203,0,rR1(19.5),Ground v=0_X 20.5 20 F1e - Ground v=0_X 19.5 19 F1e
AlH_Plus,Ground,21.5,f,2,Ground,20.5,f,2,248.35528608832,4.89016271489842E-6,4609.88450234624,4361.52921625792,0.586297411162791,0.192047636587512,0,rR2(20.5),Ground v=1_X 21.5 22 F2f - Ground v=1_X 20.5 21 F2f
AlH_Plus,Ground,22.5,e,2,Ground,21.5,e,2,248.405636088321,4.88621355624056E-6,4611.01737734624,4362.61174125792,0.613595914962963,0.192367812524337,0,rR1(21.5),Ground v=1_X 22.5 22 F1e - Ground v=1_X 21.5 21 F1e
